title,url,certification,genres,rating,release_date,country_origin,production_company,budget,gross_us,opening_week_rev,opening_week_date,gross_world,runtime_minutes,color,soundmix,aspect_ratio
Blade Runner 2049,https://www.imdb.com/title/tt1856101/?ref_=watch_tpks_tt_i_6_pd_tp1_pbr_ic,R,Action,8.0,2017-10-06,United States,Alcon Entertainment,150000000,92071675,32753122,2017-10-08,276605984,164,Color,"Dolby Atmos, Auro 11.1, IMAX 6-Track, Dolby Surround 7.1, Sonics-DDP, SDDS",2.39 : 1
Blade Runner 2049,https://www.imdb.com/title/tt1856101/?ref_=watch_tpks_tt_i_6_pd_tp1_pbr_ic,R,Drama,8.0,2017-10-06,United States,Alcon Entertainment,150000000,92071675,32753122,2017-10-08,276605984,164,Color,"Dolby Atmos, Auro 11.1, IMAX 6-Track, Dolby Surround 7.1, Sonics-DDP, SDDS",2.39 : 1
Blade Runner 2049,https://www.imdb.com/title/tt1856101/?ref_=watch_tpks_tt_i_6_pd_tp1_pbr_ic,R,Mystery,8.0,2017-10-06,United States,Alcon Entertainment,150000000,92071675,32753122,2017-10-08,276605984,164,Color,"Dolby Atmos, Auro 11.1, IMAX 6-Track, Dolby Surround 7.1, Sonics-DDP, SDDS",2.39 : 1
Drive,https://www.imdb.com/title/tt0780504/?ref_=watch_tpks_tt_i_7_pd_tp1_pbr_ic,R,Action,7.8,2011-09-16,United States,FilmDistrict,15000000,35061555,11340461,2011-09-18,78025654,100,Color,"DTS, Dolby Digital, SDDS",2.35 : 1
Drive,https://www.imdb.com/title/tt0780504/?ref_=watch_tpks_tt_i_7_pd_tp1_pbr_ic,R,Drama,7.8,2011-09-16,United States,FilmDistrict,15000000,35061555,11340461,2011-09-18,78025654,100,Color,"DTS, Dolby Digital, SDDS",2.35 : 1
Me Before You,https://www.imdb.com/title/tt2674426/?ref_=watch_tpks_tt_i_9_pd_tp1_pbr_ic,PG-13,Drama,7.4,2016-06-03,United States,Metro-Goldwyn-Mayer (MGM),20000000,56245075,18723269,2016-06-05,208445075,110,Color,"Dolby Digital, Dolby Atmos",2.35 : 1
Me Before You,https://www.imdb.com/title/tt2674426/?ref_=watch_tpks_tt_i_9_pd_tp1_pbr_ic,PG-13,Romance,7.4,2016-06-03,United States,Metro-Goldwyn-Mayer (MGM),20000000,56245075,18723269,2016-06-05,208445075,110,Color,"Dolby Digital, Dolby Atmos",2.35 : 1
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=watch_tpks_tt_i_10_pd_tp1_pbr_ic,PG-13,Adventure,8.7,2014-11-07,United States,Paramount Pictures,165000000,188020017,47510360,2014-11-09,747516808,169,Color,"Datasat, Dolby Digital, IMAX 6-Track, Dolby Surround 7.1",2.39 : 1
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=watch_tpks_tt_i_10_pd_tp1_pbr_ic,PG-13,Drama,8.7,2014-11-07,United States,Paramount Pictures,165000000,188020017,47510360,2014-11-09,747516808,169,Color,"Datasat, Dolby Digital, IMAX 6-Track, Dolby Surround 7.1",2.39 : 1
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=watch_tpks_tt_i_10_pd_tp1_pbr_ic,PG-13,Sci-Fi,8.7,2014-11-07,United States,Paramount Pictures,165000000,188020017,47510360,2014-11-09,747516808,169,Color,"Datasat, Dolby Digital, IMAX 6-Track, Dolby Surround 7.1",2.39 : 1
